[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.application.HelloApplication  - Error main
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.MappingException: Repeated column in mapping for entity: bg.tuvarna.sit.group5.tickets.data.entities.SellTickets column: Distrib_event_idDistEvent (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.MappingException: Repeated column in mapping for entity: bg.tuvarna.sit.group5.tickets.data.entities.SellTickets column: Distrib_event_idDistEvent (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.AnnotationException: mappedBy reference an unknown target entity property: bg.tuvarna.sit.group5.tickets.data.entities.SellTickets.distribEvent in bg.tuvarna.sit.group5.tickets.data.entities.DistribEvent.sellTicketsByIdDistEvent
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.MappingException: Repeated column in mapping for entity: bg.tuvarna.sit.group5.tickets.data.entities.SellTickets column: Distrib_event_idDistEvent (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.MappingException: Repeated column in mapping for entity: bg.tuvarna.sit.group5.tickets.data.entities.DistribEvent column: User_idUser (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.MappingException: Repeated column in mapping for entity: bg.tuvarna.sit.group5.tickets.data.entities.Tickets column: Event_idEvent (should be mapped with insert="false" update="false")
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.MappingException: Could not instantiate persister org.hibernate.persister.entity.SingleTableEntityPersister
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.MappingException: Could not instantiate persister org.hibernate.persister.entity.SingleTableEntityPersister
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.MappingException: Could not instantiate persister org.hibernate.persister.entity.SingleTableEntityPersister
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.MappingException: Could not instantiate persister org.hibernate.persister.entity.SingleTableEntityPersister
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.MappingException: Could not instantiate persister org.hibernate.persister.entity.SingleTableEntityPersister
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.MappingException: Could not instantiate persister org.hibernate.persister.entity.SingleTableEntityPersister
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.MappingException: Could not instantiate persister org.hibernate.persister.entity.SingleTableEntityPersister
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.MappingException: Could not instantiate persister org.hibernate.persister.entity.SingleTableEntityPersister
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.EventTypeRepository  - Get event types error: org.hibernate.hql.internal.ast.QuerySyntaxException: EventType is not mapped [SELECT et FROM EventType et]
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.AnnotationException: @OneToOne or @ManyToOne on bg.tuvarna.sit.group5.tickets.data.entities.DistribEvent.distributorsEvent references an unknown entity: bg.tuvarna.sit.group5.tickets.data.entities.User
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.MappingException: Could not instantiate persister org.hibernate.persister.entity.SingleTableEntityPersister
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.MappingException: Could not instantiate persister org.hibernate.persister.entity.SingleTableEntityPersister
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.MappingException: Could not instantiate persister org.hibernate.persister.entity.SingleTableEntityPersister
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.MappingException: Could not instantiate persister org.hibernate.persister.entity.SingleTableEntityPersister
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.MappingException: Could not instantiate persister org.hibernate.persister.entity.SingleTableEntityPersister
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.EventTypeRepository  - Get event types error: org.hibernate.hql.internal.ast.QuerySyntaxException: EventType is not mapped [SELECT et FROM EventType et]
